# language = de
# newspaper = NZZ
# date = 1848-04-08
# document_id = NZZ-1848-04-08-a-p0001
# segment_iiif_link = _
chweiz	B-loc	O	B-loc.adm.nat	O	O	O	Q39	_	NoSpaceAfter
noch	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
schweizerische	O	O	O	O	O	O	_	_	_
Universität	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
eine	O	O	O	O	O	O	_	_	_
polytechnische	O	O	O	O	O	O	_	_	_
Schule	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
Seminarien	O	O	O	O	O	O	_	_	_
zulasse	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_|EOS

—	O	O	O	O	O	O	_	_	_
Wir	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
zwar	O	O	O	O	O	O	_	_	_
weit	O	O	O	O	O	O	_	_	_
entfernt	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
billigen	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
bis	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Revisionsarbeit	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-11
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#sionsarbeit	O	O	O	O	O	O	_	_	_|Commented
zu	O	O	O	O	O	O	_	_	_
Tage	O	O	O	O	O	O	_	_	_
gefördert	O	O	O	O	O	O	_	_	_
wurde	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
andern	O	O	O	O	O	O	_	_	_
Seite	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
behaupten	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
durch	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Verfassungsentwurf	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Reihe	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
schönsten	O	O	O	O	O	O	_	_	_
Ideen	O	O	O	O	O	O	_	_	_
eingeführt	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
denen	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
vor	O	O	O	O	O	O	_	_	_
wenigen	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-3
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#gen	O	O	O	O	O	O	_	_	_|Commented
Monaten	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
als	O	O	O	O	O	O	_	_	_
völlig	O	O	O	O	O	O	_	_	_
befriedigt	O	O	O	O	O	O	_	_	_
erklärt	O	O	O	O	O	O	_	_	_
hätte	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_|EOS

Allein	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
gibt	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
einmal	O	O	O	O	O	O	_	_	_
Leute	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
welche	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
keinem	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
erheblichen	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-9
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#heblichen	O	O	O	O	O	O	_	_	_|Commented
Fortschritte	O	O	O	O	O	O	_	_	_
begnügen	O	O	O	O	O	O	_	_	_
können	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
geradezu	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
angenommen	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
verlangen	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
die	O	O	O	O	O	O	_	_	_
Ansichten	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Interessen	O	O	O	O	O	O	_	_	_
tausend	O	O	O	O	O	O	_	_	_
Anderer	O	O	O	O	O	O	_	_	_
durchkreuzt	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_|EOS

Dann	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
wird	O	O	O	O	O	O	_	_	_
gleich	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Verfassungsrath	O	O	O	O	O	O	_	_	_
als	O	O	O	O	O	O	_	_	_
politisches	O	O	O	O	O	O	_	_	_
Schreckmännchen	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
aufgestellt	O	O	O	O	O	O	_	_	NoSpaceAfter
!	O	O	O	O	O	O	_	_	_|EOS

Wir	O	O	O	O	O	O	_	_	_
wollen	O	O	O	O	O	O	_	_	_
gewärtigen	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
eidg	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_
Stände	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
welche	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
bisanhin	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
großer	O	O	O	O	O	O	_	_	_
Mehrzahl	O	O	O	O	O	O	_	_	_
gegen	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
solchen	O	O	O	O	O	O	_	_	_
instruirten	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
dazu	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
sagen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
diese	O	O	O	O	O	O	_	_	_
ihn	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
wollen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
gleichwohl	O	O	O	O	O	O	_	_	_
einzelne	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-5
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#zelne	O	O	O	O	O	O	_	_	_|Commented
Köpfe	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Wege	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Gewalt	O	O	O	O	O	O	_	_	_
ihn	O	O	O	O	O	O	_	_	_
durchzusetzen	O	O	O	O	O	O	_	_	_
beabsichtigen	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-9
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#sichtigen	O	O	O	O	O	O	_	_	NoSpaceAfter|Commented
,	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
schieben	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Folgen	O	O	O	O	O	O	_	_	_
denen	O	O	O	O	O	O	_	_	_
aufs	O	O	O	O	O	O	_	_	_
Gewissen	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
welche	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
in	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
bedenklicher	O	O	O	O	O	O	_	_	_
Lage	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
Vaterlandes	O	O	O	O	O	O	_	_	_
nöthigenfalls	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Weg	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
der	O	O	O	O	O	O	_	_	_
Bundesrevolution	O	O	O	O	O	O	_	_	_
einschlagen	O	O	O	O	O	O	_	_	_
wollen	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
ihre	O	O	O	O	O	O	_	_	_
Absichten	O	O	O	O	O	O	_	_	_
durchzusetzen	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-8
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#zusetzen	O	O	O	O	O	O	_	_	NoSpaceAfter|Commented
.	O	O	O	O	O	O	_	_	_|EOS

—	O	O	O	O	O	O	_	_	_
Vorläufig	O	O	O	O	O	O	_	_	_
sei	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
bescheidene	O	O	O	O	O	O	_	_	_
Zweifel	O	O	O	O	O	O	_	_	_
erlaubt	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
ob	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
ein	O	O	O	O	O	O	_	_	_
Verfassungsrath	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Entwurf	O	O	O	O	O	O	_	_	_
machen	O	O	O	O	O	O	_	_	_
könnte	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
weniger	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
Anstoß	O	O	O	O	O	O	_	_	_
erregen	O	O	O	O	O	O	_	_	_
würde	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
ob	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
dieser	O	O	O	O	O	O	_	_	_
Behörde	O	O	O	O	O	O	_	_	_
keine	O	O	O	O	O	O	_	_	_
kantonalen	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-3
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#len	O	O	O	O	O	O	_	_	_|Commented
Rücksichten	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
geltend	O	O	O	O	O	O	_	_	_
machen	O	O	O	O	O	O	_	_	_
würden	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_|EOS

Wir	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
häufig	O	O	O	O	O	O	_	_	_
evidente	O	O	O	O	O	O	_	_	_
Erfahrungen	O	O	O	O	O	O	_	_	_
gemacht	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
oft	O	O	O	O	O	O	_	_	_
unter	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
schönsten	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
nationalen	O	O	O	O	O	O	_	_	_
Aushängeschild	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
größten	O	O	O	O	O	O	_	_	_
Kantonaltendenzen	O	O	O	O	O	O	_	_	_
hervorguckten	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-10
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#vorguckten	O	O	O	O	O	O	_	_	NoSpaceAfter|Commented
!	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|EOS

# segment_iiif_link = _
Doch	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
wollen	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Beschwerden	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
welche	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
jenem	O	O	O	O	O	O	_	_	_
Artikel	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
im	O	O	O	O	O	O	_	_	_
Verfassungsfreund	O	O	O	O	O	O	_	_	_
Anlaß	O	O	O	O	O	O	_	_	_
gaben	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
etwas	O	O	O	O	O	O	_	_	_
näher	O	O	O	O	O	O	_	_	_
betrachten	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_|EOS

Eine	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
zentrale	O	O	O	O	O	O	_	_	_
Bildung	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Spezialwaffen	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
verlangt	O	O	O	O	O	O	_	_	NoSpaceAfter
;	O	O	O	O	O	O	_	_	_|EOS

diese	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
bereits	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-5
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#reits	O	O	O	O	O	O	_	_	_|Commented
beschlossen	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
allein	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
später	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Kostenpunkt	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
nähern	O	O	O	O	O	O	_	_	_
Explikationen	O	O	O	O	O	O	_	_	_
kam	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
wurde	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Sache	O	O	O	O	O	O	_	_	_
wieder	O	O	O	O	O	O	_	_	_
rückgängig	O	O	O	O	O	O	_	_	NoSpaceAfter
;	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|EOS

# segment_iiif_link = _
es	O	O	O	O	O	O	_	_	_
zeigte	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
zwar	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Ständen	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
welche	O	O	O	O	O	O	_	_	_
Artillerie	O	O	O	O	O	O	_	_	_
stellen	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
von	O	O	O	O	O	O	_	_	_
Bundeswegen	O	O	O	O	O	O	_	_	_
vorschreiben	O	O	O	O	O	O	_	_	_
wolle	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
wann	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
welche	O	O	O	O	O	O	_	_	_
Art	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
wie	O	O	O	O	O	O	_	_	_
lange	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
instruiren	O	O	O	O	O	O	_	_	_
sollen	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Bund	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
nichts	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Kosten	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-4
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#sten	O	O	O	O	O	O	_	_	_|Commented
dieser	O	O	O	O	O	O	_	_	_
zentralen	O	O	O	O	O	O	_	_	_
Bildung	O	O	O	O	O	O	_	_	_
übernehmen	O	O	O	O	O	O	_	_	_
wolle	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
als	O	O	O	O	O	O	_	_	_
höchstens	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
Besoldung	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Instruktoren	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_|EOS

Wir	O	O	O	O	O	O	_	_	_
bedauern	O	O	O	O	O	O	_	_	_
zwar	O	O	O	O	O	O	_	_	_
dieses	O	O	O	O	O	O	_	_	_
Resultat	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-3
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#tat	O	O	O	O	O	O	_	_	NoSpaceAfter|Commented
;	O	O	O	O	O	O	_	_	_|EOS

allein	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
finden	O	O	O	O	O	O	_	_	_
gleichwohl	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Bund	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
ein	O	O	O	O	O	O	_	_	_
großes	O	O	O	O	O	O	_	_	_
Unglück	O	O	O	O	O	O	_	_	_
sei	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
indem	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Kantone	O	O	O	O	O	O	_	_	_
bei	O	O	O	O	O	O	_	_	_
gutem	O	O	O	O	O	O	_	_	_
Willen	O	O	O	O	O	O	_	_	_
gewiß	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-3
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#wiß	O	O	O	O	O	O	_	_	_|Commented
ihre	O	O	O	O	O	O	_	_	_
Spezialwaffen	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
einer	O	O	O	O	O	O	_	_	_
gehörigen	O	O	O	O	O	O	_	_	_
Ausbildung	O	O	O	O	O	O	_	_	_
bringen	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
können	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_|EOS

Am	O	O	O	O	O	O	_	_	_
allerwenigsten	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
spreche	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
bei	O	O	O	O	O	O	_	_	_
dieser	O	O	O	O	O	O	_	_	_
Sache	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
von	O	O	O	O	O	O	_	_	_
einer	O	O	O	O	O	O	_	_	_
ideellen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
nationalen	O	O	O	O	O	O	_	_	_
Seite	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
zeigte	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
es	O	O	O	O	O	O	_	_	_
wesentlich	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Geldsache	O	O	O	O	O	O	_	_	_
sei	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_|EOS

Denn	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
wollten	O	O	O	O	O	O	_	_	_
zentralisiren	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-5
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#siren	O	O	O	O	O	O	_	_	_|Commented
aber	O	O	O	O	O	O	_	_	_
niemand	O	O	O	O	O	O	_	_	_
bezahlen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
kam	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
dahin	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Stellvertreter	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-9
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#vertreter	O	O	O	O	O	O	_	_	_|Commented
derjenigen	O	O	O	O	O	O	_	_	_
Stände	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
welche	O	O	O	O	O	O	_	_	_
Artillerie	O	O	O	O	O	O	_	_	_
stellen	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Aufdrängen	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-7
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#drängen	O	O	O	O	O	O	_	_	_|Commented
einer	O	O	O	O	O	O	_	_	_
solchen	O	O	O	O	O	O	_	_	_
